node,profile,nid,spot.channel,Min time/rank,Max time/rank,Avg time/rank,Total time,Calls/rank (min),Calls/rank (avg),Calls/rank (max),Calls (total),Min time/rank (exc),Max time/rank (exc),Avg time/rank (exc),Total time (exc),name
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,31.0,regionprofile,3.0327e-05,3.0327e-05,3.0327e-05,3.0327e-05,3.0,3.0,3.0,3.0,3.0327e-05,3.0327e-05,3.0327e-05,3.0327e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - keys]', 'type': 'function'}",1024118826,33.0,regionprofile,0.000101804,0.000101804,0.000101804,0.000101804,1.0,1.0,1.0,1.0,7.017e-05,7.017e-05,7.017e-05,7.017e-05,Kokkos::View::initialization [UnorderedMap - keys]
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,34.0,regionprofile,3.1634e-05,3.1634e-05,3.1634e-05,3.1634e-05,3.0,3.0,3.0,3.0,3.1634e-05,3.1634e-05,3.1634e-05,3.1634e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - values]', 'type': 'function'}",1024118826,36.0,regionprofile,7.7561e-05,7.7561e-05,7.7561e-05,7.7561e-05,1.0,1.0,1.0,1.0,4.6859e-05,4.6859e-05,4.6859e-05,4.6859e-05,Kokkos::View::initialization [UnorderedMap - values]
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,37.0,regionprofile,3.0702e-05,3.0702e-05,3.0702e-05,3.0702e-05,3.0,3.0,3.0,3.0,3.0702e-05,3.0702e-05,3.0702e-05,3.0702e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - scalars] via memset', 'type': 'function'}",1024118826,39.0,regionprofile,6.8095e-05,6.8095e-05,6.8095e-05,6.8095e-05,1.0,1.0,1.0,1.0,3.8439e-05,3.8439e-05,3.8439e-05,3.8439e-05,Kokkos::View::initialization [UnorderedMap - scalars] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,40.0,regionprofile,2.9656e-05,2.9656e-05,2.9656e-05,2.9656e-05,3.0,3.0,3.0,3.0,2.9656e-05,2.9656e-05,2.9656e-05,2.9656e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::ViewFill-1D', 'type': 'function'}",1024118826,42.0,regionprofile,0.000139564,0.000139564,0.000139564,0.000139564,2.0,2.0,2.0,2.0,8.1811e-05,8.1811e-05,8.1811e-05,8.1811e-05,Kokkos::ViewFill-1D
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,43.0,regionprofile,5.7753e-05,5.7753e-05,5.7753e-05,5.7753e-05,6.0,6.0,6.0,6.0,5.7753e-05,5.7753e-05,5.7753e-05,5.7753e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Vector] via memset', 'type': 'function'}",1024118826,45.0,regionprofile,0.000129856,0.000129856,0.000129856,0.000129856,2.0,2.0,2.0,2.0,7.3239e-05,7.3239e-05,7.3239e-05,7.3239e-05,Kokkos::View::initialization [Vector] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,46.0,regionprofile,5.6617e-05,5.6617e-05,5.6617e-05,5.6617e-05,6.0,6.0,6.0,6.0,5.6617e-05,5.6617e-05,5.6617e-05,5.6617e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Vector length] via memset', 'type': 'function'}",1024118826,48.0,regionprofile,0.000128999,0.000128999,0.000128999,0.000128999,2.0,2.0,2.0,2.0,7.2411e-05,7.2411e-05,7.2411e-05,7.2411e-05,Kokkos::View::initialization [Vector length] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,49.0,regionprofile,5.6588e-05,5.6588e-05,5.6588e-05,5.6588e-05,6.0,6.0,6.0,6.0,5.6588e-05,5.6588e-05,5.6588e-05,5.6588e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Vector_mirror] via memset', 'type': 'function'}",1024118826,51.0,regionprofile,0.000148834,0.000148834,0.000148834,0.000148834,2.0,2.0,2.0,2.0,7.9244e-05,7.9244e-05,7.9244e-05,7.9244e-05,Kokkos::View::initialization [Vector_mirror] via memset
"{'name': 'HostSpace fence', 'type': 'function'}",1024118826,52.0,regionprofile,1.5464e-05,1.5464e-05,1.5464e-05,1.5464e-05,2.0,2.0,2.0,2.0,1.5464e-05,1.5464e-05,1.5464e-05,1.5464e-05,HostSpace fence
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,53.0,regionprofile,5.4126e-05,5.4126e-05,5.4126e-05,5.4126e-05,6.0,6.0,6.0,6.0,5.4126e-05,5.4126e-05,5.4126e-05,5.4126e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Vector length_mirror] via memset', 'type': 'function'}",1024118826,55.0,regionprofile,0.000147316,0.000147316,0.000147316,0.000147316,2.0,2.0,2.0,2.0,7.8378e-05,7.8378e-05,7.8378e-05,7.8378e-05,Kokkos::View::initialization [Vector length_mirror] via memset
"{'name': 'HostSpace fence', 'type': 'function'}",1024118826,56.0,regionprofile,1.5081e-05,1.5081e-05,1.5081e-05,1.5081e-05,2.0,2.0,2.0,2.0,1.5081e-05,1.5081e-05,1.5081e-05,1.5081e-05,HostSpace fence
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,57.0,regionprofile,5.3857e-05,5.3857e-05,5.3857e-05,5.3857e-05,6.0,6.0,6.0,6.0,5.3857e-05,5.3857e-05,5.3857e-05,5.3857e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Restore Tree', 'type': 'function'}",1024118826,59.0,regionprofile,0.441616,0.441616,0.441616,0.441616,1.0,1.0,1.0,1.0,0.00513167,0.00513167,0.00513167,0.00513167,Restore Tree
"{'name': 'Kokkos::Cuda: backend fence after async malloc', 'type': 'function'}",1024118826,60.0,regionprofile,2.0243e-05,2.0243e-05,2.0243e-05,2.0243e-05,1.0,1.0,1.0,1.0,2.0243e-05,2.0243e-05,2.0243e-05,2.0243e-05,Kokkos::Cuda: backend fence after async malloc
"{'name': 'SharedAllocationRecord<Kokkos::CudaSpace, void>::SharedAllocationRecord(): fence after copying header from HostSpace', 'type': 'function'}",1024118826,61.0,regionprofile,2.8291e-05,2.8291e-05,2.8291e-05,2.8291e-05,2.0,2.0,2.0,2.0,2.8291e-05,2.8291e-05,2.8291e-05,2.8291e-05,"SharedAllocationRecord<Kokkos::CudaSpace, void>::SharedAllocationRecord(): fence after copying header from HostSpace"
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,62.0,regionprofile,0.000197092,0.000197092,0.000197092,0.000197092,21.0,21.0,21.0,21.0,0.000197092,0.000197092,0.000197092,0.000197092,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Buffer] via memset', 'type': 'function'}",1024118826,63.0,regionprofile,0.000336509,0.000336509,0.000336509,0.000336509,1.0,1.0,1.0,1.0,4.3297e-05,4.3297e-05,4.3297e-05,4.3297e-05,Kokkos::View::initialization [Buffer] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,64.0,regionprofile,0.000293212,0.000293212,0.000293212,0.000293212,3.0,3.0,3.0,3.0,0.000293212,0.000293212,0.000293212,0.000293212,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::Impl::ViewValueFunctor: View init/destroy fence', 'type': 'function'}",1024118826,65.0,regionprofile,2.5793e-05,2.5793e-05,2.5793e-05,2.5793e-05,2.0,2.0,2.0,2.0,2.5793e-05,2.5793e-05,2.5793e-05,2.5793e-05,Kokkos::Impl::ViewValueFunctor: View init/destroy fence
"{'name': 'Kokkos::deep_copy: scalar copy, pre copy fence', 'type': 'function'}",1024118826,66.0,regionprofile,5.5773e-05,5.5773e-05,5.5773e-05,5.5773e-05,6.0,6.0,6.0,6.0,5.5773e-05,5.5773e-05,5.5773e-05,5.5773e-05,"Kokkos::deep_copy: scalar copy, pre copy fence"
"{'name': 'Kokkos::deep_copy: scalar copy, post copy fence', 'type': 'function'}",1024118826,67.0,regionprofile,0.000315916,0.000315916,0.000315916,0.000315916,6.0,6.0,6.0,6.0,0.000315916,0.000315916,0.000315916,0.000315916,"Kokkos::deep_copy: scalar copy, post copy fence"
